Siruta,Localitate,RataMortalitateInfantila
139394,Viile Satu Mare,21.2766
109924,Oras Baia De Arama,21.2766
115183,Apold,21.2766
48968,Ramnicelu,21.0526
24837,Rachitoasa,20.8333
70637,Amarastii De Jos,20.8333
84344,Ditrau,20.8333
43411,Oras Insuratei,20.8333
108204,Ieud,20.8333
50969,Oras Bocsa,20.7254
105259,Spantov,20.4082
60721,Tuzla,20.4082
42183,Vama Buzaului,20.4082
31789,Tinca,20.4082
48557,Parscov,20.4082
178607,Vanatori,20.4082
139214,Turulung,20.0
163832,Falciu,20.0
96147,Ceplenita,20.0
118575,Ogra,20.0
144054,Oras Avrig,20.0
31262,Suplacu De Barcau,20.0
20965,Oras Targu Ocna,19.802
101190,Oras Bolintin-Vale,19.7368
99879,Tiganasi,19.6078
67595,Gura Ocnitei,19.6078
99968,Valea Seaca,19.6078
38982,Suharau,19.6078
113395,Punghina,19.6078
36952,Cristinesti,19.6078
110232,Oras Vanju Mare,19.6078
15741,Corbeni,19.6078
60598,23-Aug,19.2308
129656,Valea Mare,19.2308
67167,Crangurile,19.2308
128613,Scarisoara,19.2308
117319,Gurghiu,19.2308
145408,Rosia,19.2308
87175,Municipiul Vulcan,19.1388
30915,Oras Sacueni,19.1083
149833,Patrauti,19.0476
26582,Sanmartin,18.9873
99600,Trifesti,18.8679
148293,Dornesti,18.8679
32704,Budacu De Jos,18.8679
117550,Ibanesti,18.8679
179846,Coltau,18.8679
145667,Seica Mare,18.8679
37324,Frumusica,18.8679
65869,Iedera,18.5185
144651,Iacobeni,18.5185
12509,Tarnova,18.5185
112030,Gruia,18.5185
40367,Oras Rasnov,18.4049
34985,Teaca,18.1818
148612,Oras Frasin,18.1818
26346,Gioseni,18.1818
164339,Iana,18.1818
24276,Pargaresti,17.8571
75221,Draganesti,17.8571
17049,Malureni,17.8571
102286,Crevedia,17.8571
124028,Rediu,17.8571
70897,Bistret,17.8571
40438,Municipiul Sacele,17.7515
51010,Municipiul Caransebes,17.6991
97009,Erbiceni,17.5439
61318,Cobadin,17.5439
120771,Dumbrava Rosie,17.5439
22380,Dofteana,17.5439
34280,Rebrisoara,17.5439
75953,Corod,17.5439
42398,Vulcan,17.5439
146539,Municipiul Falticeni,17.5439
103014,Fundeni,17.5439
61620,Cumpana,17.341
17101,Merisani,17.2414
145499,Oras Saliste,17.2414
119466,Sanpaul,17.2414
36131,Albesti,17.2414
112548,Jiana,17.2414
105874,Varasti,17.2414
32544,Oras Nasaud,17.094
102213,Cornetu,16.9492
158109,Periam,16.9492
9627,Oras Nadlac,16.9492
48325,Oras Patarlagele,16.9492
67737,I. L. Caragiale,16.9492
178821,Vulturu,16.9492
62798,Rasova,16.9492
68468,Potlogi,16.8067
147937,Darmanesti,16.6667
93888,Oras Lehliu Gara,16.6667
171325,Mihaesti,16.6667
63802,Batani,16.6667
155458,Oras Deta,16.3934
105160,Snagov,16.3934
115307,Bahnea,16.3934
30149,Nojorid,16.3934
101902,Ciolpani,16.3934
76175,Draguseni,16.3934
62397,Oras Negru Voda,16.129
107270,Bistra,16.129
61513,Corbu,16.129
23797,Oituz,16.129
159687,Oras Isaccea,16.129
17851,Pietrosani,16.129
41088,Harman,16.129
106559,Municipiul Sighetu Marmatiei,16.0
18670,Schitu Golesti,15.873
148694,Fratautii Vechi,15.873
139358,Vetis,15.873
130678,Blejoi,15.873
40492,Oras Zarnesti,15.8103
